tag,English,AudioFile,Icon,Modality
    ,,blank.wav,nose.png,
3,term,term.wav,blank.png,AudIrre
    ,,blank.wav,x.png,
8,capacity,blank.wav,capacity.png,VisNoG
    ,,blank.wav,x.png,
4,father,father.wav,blank.png,AudNoG
    ,,blank.wav,aud.png,
1,price,price.wav,blank.png,AudCong
    ,,blank.wav,vis.png,
2,filter,filter.wav,blank.png,AudIncon
    ,,blank.wav,nose.png,
3,group,group.wav,blank.png,AudIrre
    ,,blank.wav,nose.png,
3,man,man.wav,blank.png,AudIrre
    ,,blank.wav,x.png,
4,security,security.wav,blank.png,AudNoG
    ,,blank.wav,vis.png,
5,class,blank.wav,class.png,VisCong
    ,,blank.wav,vis.png,
5,spy,blank.wav,spy.png,VisCong
    ,,blank.wav,nose.png,
7,company,blank.wav,company.png,VisIrre
    ,,blank.wav,vis.png,
2,direction,direction.wav,blank.png,AudIncon
    ,,blank.wav,x.png,
8,syringe,blank.wav,syringe.png,VisNoG
    ,,blank.wav,aud.png,
6,person,blank.wav,person.png,VisIncon
    ,,blank.wav,aud.png,
1,world,world.wav,blank.png,AudCong
    ,,blank.wav,vis.png,
5,difference,blank.wav,difference.png,VisCong
    ,,blank.wav,x.png,
4,yesterday,yesterday.wav,blank.png,AudNoG
    ,,blank.wav,nose.png,
3,nature,nature.wav,blank.png,AudIrre
    ,,blank.wav,vis.png,
2,caramel,caramel.wav,blank.png,AudIncon
    ,,blank.wav,aud.png,
1,eraser,eraser.wav,blank.png,AudCong
    ,,blank.wav,vis.png,
5,chalk,blank.wav,chalk.png,VisCong
    ,,blank.wav,aud.png,
6,agility,blank.wav,agility.png,VisIncon
    ,,blank.wav,aud.png,
6,worm,blank.wav,worm.png,VisIncon
    ,,blank.wav,nose.png,
7,fear,blank.wav,fear.png,VisIrre
    ,,blank.wav,x.png,
8,strength,blank.wav,strength.png,VisNoG
    ,,blank.wav,nose.png,
7,eye,blank.wav,eye.png,VisIrre
    ,,blank.wav,aud.png,
6,rhyme,blank.wav,rhyme.png,VisIncon
    ,,blank.wav,nose.png,
3,hail,hail.wav,blank.png,AudIrre
    ,,blank.wav,x.png,
4,month,month.wav,blank.png,AudNoG
    ,,blank.wav,nose.png,
7,head,blank.wav,head.png,VisIrre
    ,,blank.wav,aud.png,
1,lobster,lobster.wav,blank.png,AudCong
    ,,blank.wav,nose.png,
7,space,blank.wav,space.png,VisIrre
    ,,blank.wav,vis.png,
2,coffin,coffin.wav,blank.png,AudIncon
    ,,blank.wav,aud.png,
1,freezer,freezer.wav,blank.png,AudCong
    ,,blank.wav,vis.png,
5,existence,blank.wav,existence.png,VisCong
    ,,blank.wav,aud.png,
6,bookcase,blank.wav,bookcase.png,VisIncon
    ,,blank.wav,x.png,
8,biologist,blank.wav,biologist.png,VisNoG
    ,,blank.wav,x.png,
8,energy,blank.wav,energy.png,VisNoG
    ,,blank.wav,x.png,
4,ounce,ounce.wav,blank.png,AudNoG
    ,,blank.wav,vis.png,
2,action,action.wav,blank.png,AudIncon
