tag,English,AudioFile,Icon,Modality
    ,,blank.wav,x.png,
1,truth,blank.wav,truth.png,VisNoG
,,blank.wav,nose.png,
4,bachelor,bachelor.wav,blank.png,AudIrre
,,blank.wav,nose.png,
8,vowel,blank.wav,vowel.png,VisIrre
,,blank.wav,vis.png,
6,function,blank.wav,function.png,VisCong
,,blank.wav,vis.png,
3,crib,crib.wav,blank.png,AudIncon
,,blank.wav,vis.png,
6,germ,blank.wav,germ.png,VisCong
,,blank.wav,x.png,
5,massage,massage.wav,blank.png,AudNoG
,,blank.wav,aud.png,
2,water,water.wav,blank.png,AudCong
,,blank.wav,vis.png,
6,couple,blank.wav,couple.png,VisCong
,,blank.wav,x.png,
1,frog,blank.wav,frog.png,VisNoG
,,blank.wav,vis.png,
6,community,blank.wav,community.png,VisCong
,,blank.wav,x.png,
1,accordion,blank.wav,accordion.png,VisNoG
,,blank.wav,aud.png,
7,movement,blank.wav,movement.png,VisIncon
,,blank.wav,x.png,
5,martian,martian.wav,blank.png,AudNoG
,,blank.wav,aud.png,
2,result,result.wav,blank.png,AudCong
,,blank.wav,vis.png,
3,distance,distance.wav,blank.png,AudIncon
,,blank.wav,x.png,
1,diamond,blank.wav,diamond.png,VisNoG
,,blank.wav,vis.png,
6,teacher,blank.wav,teacher.png,VisCong
,,blank.wav,aud.png,
2,astronaut,astronaut.wav,blank.png,AudCong
,,blank.wav,x.png,
1,symptom,blank.wav,symptom.png,VisNoG
,,blank.wav,vis.png,
3,bruise,bruise.wav,blank.png,AudIncon
,,blank.wav,aud.png,
7,harp,blank.wav,harp.png,VisIncon
,,blank.wav,x.png,
5,eruption,eruption.wav,blank.png,AudNoG
,,blank.wav,nose.png,
4,adviser,adviser.wav,blank.png,AudIrre
,,blank.wav,nose.png,
4,government,government.wav,blank.png,AudIrre
,,blank.wav,aud.png,
7,butcher,blank.wav,butcher.png,VisIncon
,,blank.wav,aud.png,
7,cork,blank.wav,cork.png,VisIncon
,,blank.wav,aud.png,
2,eyebrow,eyebrow.wav,blank.png,AudCong
,,blank.wav,nose.png,
8,dinosaur,blank.wav,dinosaur.png,VisIrre
,,blank.wav,nose.png,
4,anarchy,anarchy.wav,blank.png,AudIrre
,,blank.wav,vis.png,
3,fireman,fireman.wav,blank.png,AudIncon
,,blank.wav,nose.png,
8,scarf,blank.wav,scarf.png,VisIrre
,,blank.wav,aud.png,
2,butterfly,butterfly.wav,blank.png,AudCong
,,blank.wav,nose.png,
4,church,church.wav,blank.png,AudIrre
,,blank.wav,x.png,
5,pet,pet.wav,blank.png,AudNoG
,,blank.wav,x.png,
5,system,system.wav,blank.png,AudNoG
,,blank.wav,nose.png,
8,language,blank.wav,language.png,VisIrre
,,blank.wav,aud.png,
7,hand,blank.wav,hand.png,VisIncon
,,blank.wav,nose.png,
8,effect,blank.wav,effect.png,VisIrre
,,blank.wav,vis.png,
3,success,success.wav,blank.png,AudIncon
