tag,English,AudioFile,Icon,Modality
    ,,blank.wav,aud.png,
3,group,group.wav,blank.png,AudCong
,,blank.wav,nose.png,
1,eraser,blank.wav,eraser.png,VisIrre
,,blank.wav,nose.png,
1,lobster,blank.wav,lobster.png,VisIrre
,,blank.wav,nose.png,
5,chalk,chalk.wav,blank.png,AudIrre
,,blank.wav,nose.png,
1,price,blank.wav,price.png,VisIrre
,,blank.wav,vis.png,
4,yesterday,yesterday.wav,blank.png,AudIncon
,,blank.wav,x.png,
6,worm,worm.wav,blank.png,AudNoG
,,blank.wav,x.png,
2,filter,blank.wav,filter.png,VisNoG
,,blank.wav,x.png,
2,action,blank.wav,action.png,VisNoG
,,blank.wav,vis.png,
4,ounce,ounce.wav,blank.png,AudIncon
,,blank.wav,aud.png,
3,hail,hail.wav,blank.png,AudCong
,,blank.wav,x.png,
2,caramel,blank.wav,caramel.png,VisNoG
,,blank.wav,vis.png,
4,month,month.wav,blank.png,AudIncon
,,blank.wav,aud.png,
3,nature,nature.wav,blank.png,AudCong
,,blank.wav,x.png,
2,direction,blank.wav,direction.png,VisNoG
,,blank.wav,vis.png,
7,company,blank.wav,company.png,VisCong
,,blank.wav,x.png,
6,agility,agility.wav,blank.png,AudNoG
,,blank.wav,nose.png,
1,freezer,blank.wav,freezer.png,VisIrre
,,blank.wav,vis.png,
4,father,father.wav,blank.png,AudIncon
,,blank.wav,aud.png,
8,energy,blank.wav,energy.png,VisIncon
,,blank.wav,vis.png,
7,space,blank.wav,space.png,VisCong
,,blank.wav,nose.png,
5,existence,existence.wav,blank.png,AudIrre
,,blank.wav,aud.png,
3,man,man.wav,blank.png,AudCong
,,blank.wav,nose.png,
5,spy,spy.wav,blank.png,AudIrre
,,blank.wav,aud.png,
8,strength,blank.wav,strength.png,VisIncon
,,blank.wav,vis.png,
7,eye,blank.wav,eye.png,VisCong
,,blank.wav,aud.png,
3,term,term.wav,blank.png,AudCong
,,blank.wav,aud.png,
8,biologist,blank.wav,biologist.png,VisIncon
,,blank.wav,aud.png,
8,syringe,blank.wav,syringe.png,VisIncon
,,blank.wav,vis.png,
7,fear,blank.wav,fear.png,VisCong
,,blank.wav,x.png,
6,bookcase,bookcase.wav,blank.png,AudNoG
,,blank.wav,nose.png,
1,world,blank.wav,world.png,VisIrre
,,blank.wav,x.png,
6,person,person.wav,blank.png,AudNoG
,,blank.wav,aud.png,
8,capacity,blank.wav,capacity.png,VisIncon
,,blank.wav,nose.png,
5,difference,difference.wav,blank.png,AudIrre
,,blank.wav,vis.png,
4,security,security.wav,blank.png,AudIncon
,,blank.wav,vis.png,
7,head,blank.wav,head.png,VisCong
,,blank.wav,nose.png,
5,class,class.wav,blank.png,AudIrre
,,blank.wav,x.png,
6,rhyme,rhyme.wav,blank.png,AudNoG
,,blank.wav,x.png,
2,coffin,blank.wav,coffin.png,VisNoG
