tag,English,AudioFile,Icon,Modality
    ,,blank.wav,nose.png,
6,paper,paper.wav,paper.png,AudIrre
,,blank.wav,x.png,
3,pronoun,pronoun.wav,pronoun.png,VisNoG
,,blank.wav,aud.png,
4,earth,earth.wav,earth.png,AudCong
,,blank.wav,aud.png,
1,mother,mother.wav,mother.png,VisIncon
,,blank.wav,vis.png,
8,tiger,tiger.wav,tiger.png,VisCong
,,blank.wav,nose.png,
2,island,island.wav,island.png,VisIrre
,,blank.wav,x.png,
7,flea,flea.wav,flea.png,AudNoG
,,blank.wav,aud.png,
1,umbrella,umbrella.wav,umbrella.png,VisIncon
,,blank.wav,nose.png,
6,heart,heart.wav,heart.png,AudIrre
,,blank.wav,nose.png,
2,woman,woman.wav,woman.png,VisIrre
,,blank.wav,x.png,
7,moment,moment.wav,moment.png,AudNoG
,,blank.wav,aud.png,
1,turtle,turtle.wav,turtle.png,VisIncon
,,blank.wav,x.png,
3,flu,flu.wav,flu.png,VisNoG
,,blank.wav,aud.png,
1,window,window.wav,window.png,VisIncon
,,blank.wav,vis.png,
5,love,love.wav,love.png,AudIncon
,,blank.wav,nose.png,
6,night,night.wav,night.png,AudIrre
,,blank.wav,nose.png,
6,art,art.wav,art.png,AudIrre
,,blank.wav,nose.png,
6,athlete,athlete.wav,athlete.png,AudIrre
,,blank.wav,x.png,
3,hammock,hammock.wav,hammock.png,VisNoG
,,blank.wav,x.png,
7,fire,fire.wav,fire.png,AudNoG
,,blank.wav,nose.png,
2,celery,celery.wav,celery.png,VisIrre
,,blank.wav,aud.png,
4,kidney,kidney.wav,kidney.png,AudCong
,,blank.wav,vis.png,
5,death,death.wav,death.png,AudIncon
,,blank.wav,vis.png,
5,ankle,ankle.wav,ankle.png,AudIncon
,,blank.wav,aud.png,
4,interest,interest.wav,interest.png,AudCong
,,blank.wav,aud.png,
4,sponge,sponge.wav,sponge.png,AudCong
,,blank.wav,vis.png,
8,galaxy,galaxy.wav,galaxy.png,VisCong
,,blank.wav,nose.png,
2,age,age.wav,age.png,VisIrre
,,blank.wav,nose.png,
2,bucket,bucket.wav,bucket.png,VisIrre
,,blank.wav,x.png,
3,glue,glue.wav,glue.png,VisNoG
,,blank.wav,aud.png,
1,pumpkin,pumpkin.wav,pumpkin.png,VisIncon
,,blank.wav,vis.png,
8,condition,condition.wav,condition.png,VisCong
,,blank.wav,vis.png,
5,volcano,volcano.wav,volcano.png,AudIncon
,,blank.wav,vis.png,
8,alligator,alligator.wav,alligator.png,VisCong
,,blank.wav,aud.png,
4,secret,secret.wav,secret.png,AudCong
,,blank.wav,vis.png,
8,idol,idol.wav,idol.png,VisCong
,,blank.wav,vis.png,
5,liar,liar.wav,liar.png,AudIncon
,,blank.wav,x.png,
7,mayonnaise,mayonnaise.wav,mayonnaise.png,AudNoG
,,blank.wav,x.png,
7,bakery,bakery.wav,bakery.png,AudNoG
,,blank.wav,x.png,
3,theory,theory.wav,theory.png,VisNoG
