tag,English,AudioFile,Icon,Modality
    ,,blank.wav,nose.png,
7,year,year.wav,year.png,AudIrre
,,blank.wav,nose.png,
3,presence,presence.wav,presence.png,VisIrre
,,blank.wav,vis.png,
1,course,course.wav,course.png,VisCong
,,blank.wav,aud.png,
2,response,response.wav,response.png,VisIncon
,,blank.wav,aud.png,
2,geology,geology.wav,geology.png,VisIncon
,,blank.wav,vis.png,
1,pineapple,pineapple.wav,pineapple.png,VisCong
,,blank.wav,vis.png,
6,elephant,elephant.wav,elephant.png,AudIncon
,,blank.wav,vis.png,
1,oatmeal,oatmeal.wav,oatmeal.png,VisCong
,,blank.wav,x.png,
4,carrot,carrot.wav,carrot.png,VisNoG
,,blank.wav,nose.png,
3,wrinkle,wrinkle.wav,wrinkle.png,VisIrre
,,blank.wav,vis.png,
6,kitchen,kitchen.wav,kitchen.png,AudIncon
,,blank.wav,x.png,
8,defendant,defendant.wav,defendant.png,AudNoG
,,blank.wav,aud.png,
5,clinic,clinic.wav,clinic.png,AudCong
,,blank.wav,x.png,
8,peace,peace.wav,peace.png,AudNoG
,,blank.wav,vis.png,
6,rib,rib.wav,rib.png,AudIncon
,,blank.wav,x.png,
8,ambulance,ambulance.wav,ambulance.png,AudNoG
,,blank.wav,aud.png,
2,effort,effort.wav,effort.png,VisIncon
,,blank.wav,vis.png,
6,model,model.wav,model.png,AudIncon
,,blank.wav,x.png,
4,keyboard,keyboard.wav,keyboard.png,VisNoG
,,blank.wav,vis.png,
1,loser,loser.wav,loser.png,VisCong
,,blank.wav,vis.png,
1,process,process.wav,process.png,VisCong
,,blank.wav,aud.png,
5,rectangle,rectangle.wav,rectangle.png,AudCong
,,blank.wav,x.png,
4,alphabet,alphabet.wav,alphabet.png,VisNoG
,,blank.wav,nose.png,
7,structure,structure.wav,structure.png,AudIrre
,,blank.wav,aud.png,
5,spirit,spirit.wav,spirit.png,AudCong
,,blank.wav,nose.png,
3,carpenter,carpenter.wav,carpenter.png,VisIrre
,,blank.wav,x.png,
4,room,room.wav,room.png,VisNoG
,,blank.wav,vis.png,
6,spoon,spoon.wav,spoon.png,AudIncon
,,blank.wav,aud.png,
5,sun,sun.wav,sun.png,AudCong
,,blank.wav,x.png,
4,activity,activity.wav,activity.png,VisNoG
,,blank.wav,nose.png,
3,neck,neck.wav,neck.png,VisIrre
,,blank.wav,nose.png,
3,century,century.wav,century.png,VisIrre
,,blank.wav,aud.png,
2,name,name.wav,name.png,VisIncon
,,blank.wav,nose.png,
7,book,book.wav,book.png,AudIrre
,,blank.wav,x.png,
8,time,time.wav,time.png,AudNoG
,,blank.wav,nose.png,
7,dolphin,dolphin.wav,dolphin.png,AudIrre
,,blank.wav,x.png,
8,pyramid,pyramid.wav,pyramid.png,AudNoG
,,blank.wav,aud.png,
2,point,point.wav,point.png,VisIncon
,,blank.wav,aud.png,
5,baptism,baptism.wav,baptism.png,AudCong
,,blank.wav,nose.png,
7,mechanic,mechanic.wav,mechanic.png,AudIrre
