tag,English,AudioFile,Icon,Modality
    ,,blank.wav,vis.png,
7,year,year.wav,year.png,AudIncon
,,blank.wav,nose.png,
4,room,room.wav,room.png,VisIrre
,,blank.wav,x.png,
5,spirit,spirit.wav,spirit.png,VisNoG
,,blank.wav,vis.png,
7,book,book.wav,book.png,AudIncon
,,blank.wav,vis.png,
2,name,name.wav,name.png,VisCong
,,blank.wav,aud.png,
6,model,model.wav,model.png,AudCong
,,blank.wav,vis.png,
7,mechanic,mechanic.wav,mechanic.png,AudIncon
,,blank.wav,aud.png,
6,spoon,spoon.wav,spoon.png,AudCong
,,blank.wav,nose.png,
8,peace,peace.wav,peace.png,AudIrre
,,blank.wav,nose.png,
8,time,time.wav,time.png,AudIrre
,,blank.wav,aud.png,
3,presence,presence.wav,presence.png,VisIncon
,,blank.wav,aud.png,
6,rib,rib.wav,rib.png,AudCong
,,blank.wav,vis.png,
2,response,response.wav,response.png,VisCong
,,blank.wav,nose.png,
8,pyramid,pyramid.wav,pyramid.png,AudIrre
,,blank.wav,nose.png,
4,alphabet,alphabet.wav,alphabet.png,VisIrre
,,blank.wav,nose.png,
4,keyboard,keyboard.wav,keyboard.png,VisIrre
,,blank.wav,vis.png,
7,structure,structure.wav,structure.png,AudIncon
,,blank.wav,nose.png,
8,defendant,defendant.wav,defendant.png,AudIrre
,,blank.wav,vis.png,
2,point,point.wav,point.png,VisCong
,,blank.wav,x.png,
1,loser,loser.wav,loser.png,AudNoG
,,blank.wav,vis.png,
2,geology,geology.wav,geology.png,VisCong
,,blank.wav,x.png,
1,pineapple,pineapple.wav,pineapple.png,AudNoG
,,blank.wav,aud.png,
3,neck,neck.wav,neck.png,VisIncon
,,blank.wav,x.png,
5,clinic,clinic.wav,clinic.png,VisNoG
,,blank.wav,aud.png,
3,wrinkle,wrinkle.wav,wrinkle.png,VisIncon
,,blank.wav,nose.png,
4,carrot,carrot.wav,carrot.png,VisIrre
,,blank.wav,aud.png,
3,carpenter,carpenter.wav,carpenter.png,VisIncon
,,blank.wav,nose.png,
8,ambulance,ambulance.wav,ambulance.png,AudIrre
,,blank.wav,aud.png,
3,century,century.wav,century.png,VisIncon
,,blank.wav,vis.png,
2,effort,effort.wav,effort.png,VisCong
,,blank.wav,aud.png,
6,kitchen,kitchen.wav,kitchen.png,AudCong
,,blank.wav,vis.png,
7,dolphin,dolphin.wav,dolphin.png,AudIncon
,,blank.wav,x.png,
1,course,course.wav,course.png,AudNoG
,,blank.wav,x.png,
1,process,process.wav,process.png,AudNoG
,,blank.wav,nose.png,
4,activity,activity.wav,activity.png,VisIrre
,,blank.wav,x.png,
5,sun,sun.wav,sun.png,VisNoG
,,blank.wav,x.png,
1,oatmeal,oatmeal.wav,oatmeal.png,AudNoG
,,blank.wav,x.png,
5,baptism,baptism.wav,baptism.png,VisNoG
,,blank.wav,aud.png,
6,elephant,elephant.wav,elephant.png,AudCong
,,blank.wav,x.png,
5,rectangle,rectangle.wav,rectangle.png,VisNoG
