tag,English,AudioFile,Icon,Modality
    ,,blank.wav,x.png,
2,geology,geology.wav,geology.png,AudNoG
,,blank.wav,eye.png,
8,time,time.wav,time.png,AudIncon
,,blank.wav,ear.png,
7,book,book.wav,book.png,AudCong
,,blank.wav,x.png,
6,kitchen,kitchen.wav,kitchen.png,VisNoG
,,blank.wav,nose.png,
1,pineapple,pineapple.wav,pineapple.png,AudIrre
,,blank.wav,ear.png,
4,carrot,carrot.wav,carrot.png,VisIncon
,,blank.wav,nose.png,
5,sun,sun.wav,sun.png,VisIrre
,,blank.wav,eye.png,
8,pyramid,pyramid.wav,pyramid.png,AudIncon
,,blank.wav,eye.png,
8,ambulance,ambulance.wav,ambulance.png,AudIncon
,,blank.wav,x.png,
2,point,point.wav,point.png,AudNoG
,,blank.wav,nose.png,
5,clinic,clinic.wav,clinic.png,VisIrre
,,blank.wav,nose.png,
1,course,course.wav,course.png,AudIrre
,,blank.wav,x.png,
6,spoon,spoon.wav,spoon.png,VisNoG
,,blank.wav,eye.png,
3,wrinkle,wrinkle.wav,wrinkle.png,VisCong
,,blank.wav,x.png,
6,rib,rib.wav,rib.png,VisNoG
,,blank.wav,eye.png,
3,carpenter,carpenter.wav,carpenter.png,VisCong
,,blank.wav,x.png,
2,name,name.wav,name.png,AudNoG
,,blank.wav,eye.png,
3,neck,neck.wav,neck.png,VisCong
,,blank.wav,nose.png,
5,baptism,baptism.wav,baptism.png,VisIrre
,,blank.wav,x.png,
6,elephant,elephant.wav,elephant.png,VisNoG
,,blank.wav,ear.png,
4,alphabet,alphabet.wav,alphabet.png,VisIncon
,,blank.wav,x.png,
6,model,model.wav,model.png,VisNoG
,,blank.wav,eye.png,
8,defendant,defendant.wav,defendant.png,AudIncon
,,blank.wav,eye.png,
3,century,century.wav,century.png,VisCong
,,blank.wav,nose.png,
5,rectangle,rectangle.wav,rectangle.png,VisIrre
,,blank.wav,ear.png,
7,structure,structure.wav,structure.png,AudCong
,,blank.wav,nose.png,
1,process,process.wav,process.png,AudIrre
,,blank.wav,ear.png,
7,mechanic,mechanic.wav,mechanic.png,AudCong
,,blank.wav,eye.png,
8,peace,peace.wav,peace.png,AudIncon
,,blank.wav,x.png,
2,effort,effort.wav,effort.png,AudNoG
,,blank.wav,nose.png,
1,loser,loser.wav,loser.png,AudIrre
,,blank.wav,ear.png,
7,dolphin,dolphin.wav,dolphin.png,AudCong
,,blank.wav,ear.png,
4,room,room.wav,room.png,VisIncon
,,blank.wav,eye.png,
3,presence,presence.wav,presence.png,VisCong
,,blank.wav,ear.png,
4,activity,activity.wav,activity.png,VisIncon
,,blank.wav,nose.png,
1,oatmeal,oatmeal.wav,oatmeal.png,AudIrre
,,blank.wav,x.png,
2,response,response.wav,response.png,AudNoG
,,blank.wav,nose.png,
5,spirit,spirit.wav,spirit.png,VisIrre
,,blank.wav,ear.png,
7,year,year.wav,year.png,AudCong
,,blank.wav,ear.png,
4,keyboard,keyboard.wav,keyboard.png,VisIncon
