tag,English,AudioFile,Icon,Modality
    ,,blank.wav,x.png,
7,head,head.wav,head.png,VisNoG
,,blank.wav,nose.png,
2,caramel,caramel.wav,caramel.png,AudIrre
,,blank.wav,nose.png,
6,worm,worm.wav,worm.png,VisIrre
,,blank.wav,x.png,
7,fear,fear.wav,fear.png,VisNoG
,,blank.wav,vis.png,
1,lobster,lobster.wav,lobster.png,AudIncon
,,blank.wav,x.png,
3,nature,nature.wav,nature.png,AudNoG
,,blank.wav,nose.png,
6,agility,agility.wav,agility.png,VisIrre
,,blank.wav,aud.png,
8,syringe,syringe.wav,syringe.png,AudCong
,,blank.wav,nose.png,
2,coffin,coffin.wav,coffin.png,AudIrre
,,blank.wav,aud.png,
8,biologist,biologist.wav,biologist.png,AudCong
,,blank.wav,nose.png,
6,rhyme,rhyme.wav,rhyme.png,VisIrre
,,blank.wav,vis.png,
1,freezer,freezer.wav,freezer.png,AudIncon
,,blank.wav,x.png,
3,hail,hail.wav,hail.png,AudNoG
,,blank.wav,x.png,
7,company,company.wav,company.png,VisNoG
,,blank.wav,nose.png,
2,filter,filter.wav,filter.png,AudIrre
,,blank.wav,nose.png,
2,action,action.wav,action.png,AudIrre
,,blank.wav,x.png,
3,group,group.wav,group.png,AudNoG
,,blank.wav,aud.png,
8,capacity,capacity.wav,capacity.png,AudCong
,,blank.wav,aud.png,
5,spy,spy.wav,spy.png,VisIncon
,,blank.wav,aud.png,
8,strength,strength.wav,strength.png,AudCong
,,blank.wav,vis.png,
1,eraser,eraser.wav,eraser.png,AudIncon
,,blank.wav,vis.png,
4,month,month.wav,month.png,VisCong
,,blank.wav,nose.png,
6,bookcase,bookcase.wav,bookcase.png,VisIrre
,,blank.wav,aud.png,
5,difference,difference.wav,difference.png,VisIncon
,,blank.wav,vis.png,
1,price,price.wav,price.png,AudIncon
,,blank.wav,vis.png,
4,ounce,ounce.wav,ounce.png,VisCong
,,blank.wav,x.png,
3,term,term.wav,term.png,AudNoG
,,blank.wav,aud.png,
8,energy,energy.wav,energy.png,AudCong
,,blank.wav,aud.png,
5,class,class.wav,class.png,VisIncon
,,blank.wav,aud.png,
5,existence,existence.wav,existence.png,VisIncon
,,blank.wav,x.png,
7,eye,eye.wav,eye.png,VisNoG
,,blank.wav,aud.png,
5,chalk,chalk.wav,chalk.png,VisIncon
,,blank.wav,x.png,
7,space,space.wav,space.png,VisNoG
,,blank.wav,vis.png,
4,security,security.wav,security.png,VisCong
,,blank.wav,vis.png,
1,world,world.wav,world.png,AudIncon
,,blank.wav,x.png,
3,man,man.wav,man.png,AudNoG
,,blank.wav,vis.png,
4,yesterday,yesterday.wav,yesterday.png,VisCong
,,blank.wav,nose.png,
6,person,person.wav,person.png,VisIrre
,,blank.wav,nose.png,
2,direction,direction.wav,direction.png,AudIrre
,,blank.wav,vis.png,
4,father,father.wav,father.png,VisCong
